id,precio,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,cantidad_pisos,departamentos_piso,numero_piso_unidad,comuna
983,57.0,140.0,120.0,0.0,3,3,3,2,0,0,140000.0,0,0,0,las condes
984,332500.0,38.0,33.0,0.0,1,1,1,0,0,0,60000.0,0,0,0,san miguel
985,1450000.0,200.0,140.0,80.0,0,4,4,2,0,1,300000.0,17,3,15,las condes
987,295000.0,26.0,26.0,0.0,1,1,1,0,0,0,90000.0,0,0,0,santiago
988,1700000.0,160.0,150.0,10.0,4,3,3,2,8,1,310000.0,1,2,18,las condes
989,1350000.0,160.0,150.0,10.0,0,3,3,2,6,1,300000.0,10,2,2,providencia
990,349000.0,60.0,55.0,0.0,3,3,1,0,0,0,70000.0,0,0,0,san miguel
991,310000.0,36.0,36.0,0.0,1,1,1,0,0,0,50000.0,0,0,0,san miguel
992,1425.0,0.0,70.0,0.0,0,0,0,0,0,0,80000.0,0,0,0,otras
993,400000.0,52.0,50.0,0.0,2,2,1,0,0,0,46000.0,0,0,0,la cisterna
994,270000.0,0.0,30.0,0.0,0,0,0,0,0,0,65000.0,0,0,0,santiago
995,40.0,190.0,150.0,0.0,3,3,2,2,0,1,175000.0,0,0,0,otras
996,320000.0,0.0,35.0,0.0,0,0,0,0,0,0,50000.0,0,0,0,santiago
997,12.0,50.0,47.0,0.0,2,2,1,0,0,0,20000.0,0,0,0,otras
998,485000.0,76.0,72.0,0.0,3,2,2,1,0,0,0.0,0,0,0,otras
999,40.0,127.0,110.0,17.0,0,4,3,1,0,1,0.0,11,10,10,providencia
1000,330000.0,30.0,30.0,0.0,1,1,1,0,0,0,53000.0,0,0,0,san miguel
1001,20.0,51.0,49.0,3.0,0,2,2,1,4,1,75000.0,22,6,21,ñuñoa
1002,320000.0,0.0,35.0,0.0,0,0,0,0,0,0,60000.0,0,0,0,san miguel
1003,600000.0,77.0,74.0,0.0,3,3,2,1,0,0,90000.0,0,0,0,otras
1004,340000.0,45.0,45.0,0.0,0,1,1,0,0,0,70000.0,19,16,2,san miguel
1005,330000.0,35.0,33.0,0.0,1,1,1,0,0,0,69000.0,0,0,0,san miguel
1006,350000.0,52.0,50.0,0.0,2,2,2,0,0,0,60000.0,0,0,0,la cisterna
